caseid,commonweight,birthyr,gender4,educ,race,hispanic,votereg,pid3,pid7,inputstate,CC24_300b_4,CC24_300b_5,CC24_300b_6,CC24_309e,CC24_311a,CC24_311b,CC24_310a,CC24_310b,CC24_310c,CC24_321a,CC24_311c,CC24_311d,CC24_312a,CC24_312b,CC24_312c,CC24_312d,CC24_312e,CC24_312f,CC24_321b,CC24_321c,CC24_321d,CC24_330a,CC24_330b,CC24_330c,CC24_330d,CC24_340a,CC24_340b,CC24_340c,CC24_340d,CC24_340e,CC24_340f,CC24_341a,CC24_341b,CC24_341c,CC24_341d,CC24_416a,CC24_416b,CC24_416c,CC24_440a,CC24_440b,CC24_440c,CC24_440d,CC24_441a,CC24_441b
1855236284,0.990253829446753,1981,Man,Post-grad,Asian,No,Yes,Democrat,Not very strong Democrat,Virginia,not selected,not selected,not selected,Good,Republican,Democrat,Republicans,Democrats,Democrats,Support,Democrat,Not sure,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Not sure,Not sure,Oppose,Support,Support,Liberal,Middle of the Road,Somewhat Liberal,Somewhat Liberal,Oppose,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Support,Asian,Not sure,Not sure,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree
1855233832,0.4973516178700594,1988,Man,4-year,White,No,Yes,Democrat,Strong Democrat,Alabama,,,,Very good,Republican,Republican,Republicans,Neither,Republicans,Support,Republican,Republican,Somewhat approve,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Oppose,Support,Oppose,Very Liberal,Conservative,Middle of the Road,Somewhat Liberal,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,,White,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
1855325276,1.273020415248074,1965,Woman,4-year,White,No,Yes,Republican,Strong Republican,Pennsylvania,not selected,selected,not selected,Very good,Democrat,Democrat,Republicans,Democrats,Not sure,Oppose,Democrat,Democrat,Strongly disapprove,Strongly disapprove,Not sure,Strongly disapprove,Not sure,Strongly disapprove,Support,Support,Oppose,Conservative,Very Liberal,Very Liberal,Very Liberal,Oppose,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Support,Oppose,White,White,,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly disagree
1854339084,2.261052720269496,1986,Woman,4-year,White,No,Yes,Democrat,Strong Democrat,Alabama,,,,Very good,Republican,Republican,Republicans,Republicans,Republicans,Support,Republican,Republican,Somewhat approve,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Support,Oppose,Oppose,Very Liberal,Very Conservative,Somewhat Liberal,Somewhat Liberal,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,,White,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
1870713912,0.05691775780783733,1985,Woman,Some college,Two or more races,Yes,Yes,Democrat,Strong Democrat,Pennsylvania,not selected,selected,not selected,Very good,Democrat,Democrat,Democrats,Democrats,Democrats,Support,Democrat,Democrat,Strongly approve,Strongly approve,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Oppose,Support,Oppose,Very Liberal,Liberal,Liberal,Very Liberal,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,,,,,,,,,
1854670744,0.7492046762921362,1952,Woman,High school graduate,White,No,Yes,Democrat,Not very strong Democrat,Pennsylvania,,,,Fair,Democrat,Democrat,Not sure,Not sure,Not sure,Support,Democrat,Republican,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Not sure,Somewhat disapprove,Oppose,Support,Support,Middle of the Road,Middle of the Road,Middle of the Road,Middle of the Road,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,White,White,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
1855557090,0.1561376230084636,2005,Non-binary,Some college,White,No,Yes,Democrat,Not very strong Democrat,Virginia,,,,Fair,Not sure,Not sure,Not sure,Not sure,Not sure,Support,Democrat,Not sure,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Not sure,Oppose,Support,Oppose,Liberal,Not sure,Middle of the Road,Somewhat Liberal,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Not sure,Not sure,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree
1854271238,0.6083091233944552,1952,Woman,2-year,White,No,Yes,Republican,Strong Republican,Pennsylvania,,,,Excellent,Democrat,Democrat,Republicans,Democrats,Not sure,Support,Democrat,Democrat,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Oppose,Support,Support,Very Conservative,Very Liberal,Very Liberal,Very Liberal,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Black,White,,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree
1851703938,0.09880828583143873,1991,Woman,4-year,Hispanic,Yes,Yes,Democrat,Not very strong Democrat,Virginia,selected,not selected,not selected,Very good,Democrat,Never Heard of Person,Not sure,Not sure,Not sure,Support,Democrat,Never Heard of Person,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Somewhat approve,Not sure,Not sure,Oppose,Support,Oppose,Middle of the Road,Conservative,Very Liberal,Liberal,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,Not sure,Not sure,,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree
1847135124,1.273020415248074,1969,Woman,4-year,White,No,Yes,Independent,Independent,Pennsylvania,not selected,not selected,not selected,Very good,Democrat,Democrat,Republicans,Democrats,Republicans,Oppose,Democrat,Democrat,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Not sure,Somewhat disapprove,Oppose,Support,Support,Middle of the Road,Liberal,Liberal,Very Liberal,Support,Oppose,Support,,Oppose,,Support,Oppose,Oppose,Oppose,White,White,,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree
1842753510,0.3982052670353991,1964,Woman,Post-grad,White,No,Yes,Independent,Lean Democrat,Alaska,,,,Fair,Republican,Republican,Democrats,Republicans,Republicans,Support,Republican,Democrat,Somewhat approve,Somewhat approve,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Oppose,Support,Oppose,Somewhat Liberal,Very Conservative,Liberal,Liberal,Support,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Other,White,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree
1855386880,0.9639606543703815,1994,Woman,4-year,White,No,Yes,Republican,Not very strong Republican,Pennsylvania,,,,Excellent,Democrat,Not sure,Not sure,Not sure,Not sure,Support,Democrat,Democrat,Somewhat disapprove,Somewhat disapprove,Not sure,Not sure,Not sure,Not sure,Oppose,Support,Support,Middle of the Road,Middle of the Road,Somewhat Liberal,Liberal,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Support,Support,White,White,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
1855334748,0.5740883537785352,1960,Woman,High school graduate,White,No,Yes,Republican,Strong Republican,Pennsylvania,,,,Very good,Democrat,Republican,Republicans,Democrats,Republicans,Support,Democrat,Republican,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Oppose,Support,Support,Somewhat Conservative,Middle of the Road,Somewhat Liberal,Somewhat Liberal,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Not sure,White,,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
1872526736,0.03581944705457207,1945,Woman,Post-grad,Other,No,Yes,Democrat,Strong Democrat,Pennsylvania,not selected,not selected,not selected,Good,Democrat,Democrat,Republicans,Neither,Not sure,Support,Democrat,Democrat,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Strongly approve,Oppose,Support,Oppose,Very Liberal,Somewhat Liberal,Middle of the Road,Middle of the Road,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,,,,,,,,,
1854323144,1.479335265691892,1969,Man,High school graduate,White,No,Yes,Republican,Strong Republican,Virginia,,,,Good,Republican,Democrat,Democrats,Democrats,Democrats,Support,Democrat,Democrat,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Strongly approve,Somewhat approve,Strongly disapprove,Oppose,Support,Support,Conservative,Conservative,Very Liberal,Very Liberal,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,White,White,White,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree
1855450768,1.035872269247681,1966,Woman,4-year,White,No,Yes,Independent,Lean Democrat,Virginia,not selected,not selected,not selected,Fair,Republican,Democrat,Republicans,Democrats,Not sure,Support,Democrat,Republican,Strongly approve,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove,Oppose,Support,Oppose,Liberal,Somewhat Conservative,Middle of the Road,Middle of the Road,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,White,White,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
1855448320,0.977339041808402,1948,Woman,High school graduate,White,No,Yes,Democrat,Not very strong Democrat,Pennsylvania,,,,Very good,Democrat,Democrat,Not sure,Not sure,Not sure,Support,Democrat,Democrat,Somewhat approve,Somewhat disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Somewhat approve,Oppose,Support,Support,Not sure,Liberal,Somewhat Liberal,Somewhat Liberal,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,White,Not sure,,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree
1853524336,0.937072938882875,1946,Man,High school graduate,White,No,Yes,Republican,Not very strong Republican,Virginia,,,,Very good,Republican,Not sure,Republicans,Democrats,Not sure,Oppose,Democrat,Democrat,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Oppose,Support,Support,Conservative,Conservative,Very Liberal,Very Liberal,Oppose,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Black,White,,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree
1855486504,0.3714238629082068,2004,Man,Some college,White,No,Yes,Independent,Lean Democrat,Pennsylvania,,,,Good,Democrat,Democrat,Republicans,Democrats,Republicans,Support,Democrat,Democrat,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Not sure,Not sure,Oppose,Support,Oppose,Middle of the Road,Somewhat Conservative,Somewhat Conservative,Middle of the Road,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,White,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
1855506450,13.612851334606612,2001,Woman,4-year,White,No,Don't know,Independent,Independent,Virginia,,,,Good,Not sure,Not sure,Not sure,Not sure,Not sure,Support,Democrat,Not sure,Somewhat approve,Strongly disapprove,Strongly disapprove,Not sure,Not sure,Not sure,Oppose,Support,Oppose,Liberal,Not sure,Middle of the Road,Somewhat Liberal,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Not sure,Not sure,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
1852412208,0.9950163743980905,1943,Woman,High school graduate,White,No,Yes,Republican,Strong Republican,Virginia,not selected,not selected,not selected,Fair,Republican,Democrat,Republicans,Democrats,Democrats,Support,Democrat,Democrat,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly approve,Somewhat approve,Somewhat disapprove,Oppose,Support,Support,Conservative,Conservative,Very Liberal,Very Liberal,Support,Support,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Support,Black,White,,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
1855508018,0.3215146582157861,1954,Man,Some college,Black,No,Yes,Democrat,Strong Democrat,Pennsylvania,,,,Fair,Democrat,Democrat,Republicans,Democrats,Not sure,Support,Democrat,Democrat,Strongly approve,Somewhat disapprove,Strongly disapprove,Strongly approve,Not sure,Strongly approve,Oppose,Support,Support,Very Liberal,Liberal,Liberal,Liberal,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Black,,,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree
1855556780,0.03207179270272213,1988,Woman,No HS,Black,No,Yes,Democrat,Not very strong Democrat,Pennsylvania,,,,Good,Not sure,Not sure,Not sure,Not sure,Not sure,Support,Not sure,Not sure,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Not sure,Not sure,Not sure,Oppose,Support,Oppose,Middle of the Road,Not sure,Middle of the Road,Middle of the Road,Support,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,White,White,,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
1855585212,2.775994958576278,1975,Woman,Post-grad,Asian,No,Yes,Democrat,Strong Democrat,Virginia,selected,not selected,selected,Very good,Republican,Democrat,Republicans,Democrats,Democrats,Support,Democrat,Republican,Strongly approve,Not sure,Strongly disapprove,Strongly disapprove,Not sure,Strongly disapprove,Oppose,Support,Support,Middle of the Road,Very Conservative,Middle of the Road,Very Liberal,Support,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,White,White,,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
1855603948,0.9091013833969082,1996,Woman,4-year,White,No,Yes,Democrat,Strong Democrat,Pennsylvania,,,,Very good,Democrat,Democrat,Republicans,Democrats,Not sure,Support,Democrat,Republican,Somewhat approve,Somewhat approve,Strongly disapprove,Strongly approve,Somewhat approve,Strongly disapprove,Oppose,Support,Oppose,Very Liberal,Liberal,Liberal,Liberal,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,White,White,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
1854397008,1.355415256387665,1948,Man,High school graduate,White,No,Yes,Republican,Strong Republican,Alabama,not selected,selected,not selected,Fair,Republican,Republican,Democrats,Republicans,Republicans,Oppose,Republican,Republican,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Support,Oppose,Support,Very Conservative,Very Conservative,Very Liberal,Very Liberal,Support,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,,White,,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree
1855631820,0.4864722972084204,1959,Man,High school graduate,White,No,Yes,Democrat,Strong Democrat,Pennsylvania,,,,Very good,Democrat,Democrat,Republicans,Democrats,Republicans,Support,Democrat,Republican,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat disapprove,Somewhat disapprove,Oppose,Support,Support,Liberal,Liberal,Liberal,Liberal,Support,Support,Support,Support,Support,Support,Oppose,Support,Support,Support,Not sure,White,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
1855631824,0.4110114897108607,1957,Woman,Post-grad,White,No,Yes,Independent,Lean Democrat,Virginia,not selected,not selected,selected,Fair,Republican,Democrat,Republicans,Democrats,Not sure,Support,Democrat,Not sure,Somewhat approve,Somewhat disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Not sure,Oppose,Support,Oppose,Somewhat Liberal,Somewhat Conservative,Somewhat Liberal,Somewhat Liberal,Support,Support,Support,Support,Support,Support,Oppose,Support,Support,Support,Not sure,White,Not sure,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree
1855649456,1.244513137245894,1942,Woman,Post-grad,White,No,Yes,Independent,Lean Republican,Pennsylvania,not selected,selected,not selected,Very good,Democrat,Democrat,Republicans,Democrats,Republicans,Support,Democrat,Democrat,Strongly disapprove,Somewhat approve,Strongly approve,Somewhat disapprove,Somewhat disapprove,Not sure,Support,Support,Support,Somewhat Conservative,Somewhat Liberal,Liberal,Very Liberal,Support,Support,Support,Support,Oppose,Support,Support,Oppose,Oppose,Support,White,Not sure,,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
1855683386,0.2968612216324314,2004,Man,High school graduate,Two or more races,Yes,Yes,Democrat,Not very strong Democrat,Pennsylvania,,,,Good,Democrat,Democrat,Republicans,Democrats,Republicans,Support,Democrat,Republican,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Not sure,Strongly disapprove,Oppose,Support,Oppose,Very Liberal,Somewhat Liberal,Middle of the Road,Somewhat Liberal,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Not sure,White,,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
1855680914,1.867193610801914,1985,Man,4-year,Other,No,Yes,Democrat,Strong Democrat,Pennsylvania,selected,not selected,not selected,Excellent,Democrat,Democrat,Republicans,Democrats,Not sure,Support,Democrat,Democrat,Somewhat approve,Somewhat disapprove,Strongly disapprove,Strongly approve,Not sure,Strongly approve,Oppose,Support,Oppose,Liberal,Liberal,Liberal,Liberal,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Support,White,White,,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
1855698068,1.680351412519731,2000,Man,4-year,White,No,Yes,Republican,Strong Republican,Virginia,selected,selected,not selected,Excellent,Republican,Not sure,Republicans,Democrats,Democrats,Oppose,Democrat,Not sure,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Somewhat disapprove,Not sure,Support,Support,Support,Conservative,Somewhat Conservative,Liberal,Very Liberal,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,White,Hispanic,,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree
1855681582,1.769601601415106,1997,Man,High school graduate,Black,No,No,Independent,Independent,Pennsylvania,,,,Good,Not sure,Not sure,Not sure,Not sure,Not sure,Support,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Support,Support,Oppose,Middle of the Road,Not sure,Not sure,Not sure,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Support,,,,,,,,,
1851008598,3.707402456697117,1977,Woman,High school graduate,Black,No,No,Democrat,Not very strong Democrat,Alabama,,,,Poor,Not sure,Not sure,Not sure,Not sure,Not sure,Oppose,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Oppose,Support,Oppose,Not sure,Not sure,Not sure,Not sure,Oppose,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,,,,,,,,,,
1855683364,0.5240586255781936,1973,Man,High school graduate,Black,No,Yes,Independent,Lean Democrat,Alabama,,,,Poor,Republican,Republican,Republicans,Republicans,Republicans,Support,Republican,Republican,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Oppose,Support,Oppose,Very Liberal,Very Conservative,Middle of the Road,Middle of the Road,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Not sure,Not sure,Not sure,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
1854442250,1.191362086523615,1953,Woman,2-year,White,No,Yes,Independent,Lean Republican,Alabama,not selected,selected,not selected,Very good,Republican,Republican,Democrats,Republicans,Republicans,Oppose,Republican,Republican,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Support,Oppose,Support,Very Conservative,Conservative,Very Liberal,Very Liberal,Support,Oppose,Oppose,Support,Oppose,Oppose,Support,Oppose,Oppose,Support,,White,,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree
1855753212,0.1204940568329207,1966,Man,2-year,White,No,Yes,Independent,Lean Republican,Pennsylvania,,,,Good,Democrat,Democrat,Republicans,Democrats,Not sure,Oppose,Democrat,Democrat,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Not sure,Strongly disapprove,Support,Support,Support,Somewhat Conservative,Somewhat Liberal,Very Liberal,Very Liberal,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Support,Not sure,Not sure,,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly disagree
